,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
344,gRNA_5740,5635.0,2327.0,20412.0,702.0,484.0,1402.0,523.0,125.0,255.0,157.0,216.0,224.0,4025.0
360,gRNA_6080,1023.0,270.0,2703.0,99.0,132.0,159.0,90.0,15.0,86.0,4.0,40.0,35.0,975.0
361,gRNA_6081,373.0,95.0,1276.0,127.0,45.0,525.0,70.0,13.0,215.0,6.0,14.0,36.0,629.0
362,gRNA_6087,2141.0,574.0,6940.0,276.0,432.0,901.0,311.0,50.0,364.0,283.0,64.0,146.0,2119.0
364,gRNA_6111,1280.0,331.0,3785.0,430.0,472.0,1246.0,535.0,81.0,867.0,87.0,98.0,194.0,2277.0
366,gRNA_6125,322.0,131.0,1392.0,68.0,66.0,196.0,85.0,12.0,152.0,15.0,8.0,15.0,825.0
399,gRNA_6472,986.0,382.0,4393.0,61.0,91.0,302.0,94.0,17.0,77.0,27.0,21.0,120.0,932.0
401,gRNA_6480,1259.0,398.0,6393.0,258.0,140.0,646.0,191.0,37.0,912.0,53.0,45.0,61.0,1492.0
422,gRNA_6629,1888.0,447.0,5635.0,241.0,131.0,826.0,207.0,42.0,127.0,46.0,84.0,58.0,1846.0
437,gRNA_6712,1415.0,353.0,5475.0,286.0,261.0,858.0,243.0,59.0,648.0,97.0,78.0,121.0,2128.0
440,gRNA_6743,5231.0,2253.0,23771.0,631.0,468.0,1918.0,482.0,125.0,321.0,99.0,152.0,190.0,3862.0
441,gRNA_6745,3465.0,887.0,13098.0,837.0,509.0,2089.0,554.0,113.0,1672.0,201.0,151.0,219.0,4350.0
442,gRNA_6781,2865.0,791.0,12274.0,303.0,205.0,900.0,224.0,77.0,1228.0,84.0,62.0,222.0,2972.0
443,gRNA_6782,275.0,71.0,1138.0,142.0,157.0,200.0,95.0,27.0,563.0,42.0,15.0,34.0,739.0
444,gRNA_6797,2370.0,554.0,8131.0,316.0,256.0,949.0,296.0,58.0,272.0,157.0,223.0,71.0,3106.0
445,gRNA_6833,2431.0,501.0,6556.0,318.0,231.0,697.0,222.0,65.0,198.0,147.0,49.0,122.0,2442.0
446,gRNA_6834,555.0,151.0,1953.0,103.0,118.0,146.0,74.0,32.0,152.0,32.0,22.0,68.0,945.0
447,gRNA_6835,1713.0,465.0,7015.0,208.0,257.0,404.0,109.0,28.0,292.0,112.0,32.0,152.0,2013.0
448,gRNA_6842,1006.0,370.0,3425.0,340.0,190.0,661.0,375.0,33.0,738.0,188.0,90.0,67.0,2095.0
