,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
1280,gRNA_14659,4876.0,1373.0,21724.0,1038.0,1008.0,3192.0,938.0,159.0,1086.0,394.0,256.0,702.0,6924.0
1281,gRNA_14660,6241.0,2914.0,23995.0,503.0,644.0,1560.0,508.0,112.0,1010.0,176.0,171.0,456.0,7084.0
1282,gRNA_14661,6124.0,2189.0,23500.0,948.0,994.0,3748.0,960.0,143.0,2138.0,238.0,423.0,265.0,8235.0
1283,gRNA_14662,43154.0,15003.0,161448.0,1606.0,1419.0,3587.0,1093.0,270.0,3722.0,351.0,449.0,557.0,16513.0
1284,gRNA_14663,5934.0,1778.0,22580.0,828.0,790.0,2672.0,967.0,111.0,1271.0,194.0,137.0,372.0,9531.0
1285,gRNA_14664,11048.0,3769.0,65106.0,1163.0,920.0,3390.0,1089.0,268.0,2677.0,361.0,348.0,641.0,9641.0
1286,gRNA_14665,5006.0,1736.0,19477.0,752.0,785.0,2115.0,683.0,159.0,901.0,238.0,118.0,318.0,6895.0
1287,gRNA_14666,5199.0,1556.0,20884.0,1112.0,1231.0,4426.0,1349.0,250.0,1493.0,322.0,331.0,551.0,7320.0
1288,gRNA_14667,3780.0,919.0,15916.0,790.0,565.0,1621.0,620.0,141.0,697.0,268.0,135.0,396.0,6692.0
1289,gRNA_14668,4146.0,1279.0,13240.0,1955.0,1881.0,5081.0,1636.0,328.0,3958.0,428.0,731.0,949.0,7466.0
1290,gRNA_14669,3800.0,1138.0,16286.0,832.0,824.0,2241.0,734.0,154.0,3126.0,322.0,191.0,440.0,6657.0
1291,gRNA_14670,16482.0,4415.0,66844.0,1661.0,1806.0,6751.0,1992.0,236.0,3318.0,660.0,419.0,1176.0,15186.0
1292,gRNA_14671,2206.0,640.0,9588.0,496.0,583.0,1363.0,485.0,80.0,700.0,156.0,127.0,234.0,4340.0
1293,gRNA_14672,2377.0,753.0,9253.0,721.0,511.0,1487.0,451.0,95.0,767.0,178.0,135.0,245.0,3782.0
1294,gRNA_14673,8293.0,3435.0,44490.0,1389.0,1355.0,3816.0,1417.0,231.0,4239.0,562.0,409.0,817.0,11715.0
1295,gRNA_14674,7471.0,2247.0,23822.0,767.0,853.0,1720.0,770.0,162.0,2011.0,75.0,332.0,578.0,6769.0
1296,gRNA_14675,4595.0,1397.0,15527.0,958.0,931.0,1852.0,733.0,206.0,2332.0,101.0,253.0,373.0,5698.0
1297,gRNA_14676,13348.0,3697.0,62972.0,1513.0,1344.0,4006.0,1131.0,251.0,1740.0,801.0,662.0,1556.0,9945.0
1298,gRNA_14677,6156.0,1884.0,20913.0,510.0,286.0,819.0,282.0,122.0,429.0,75.0,163.0,215.0,4821.0
1299,gRNA_14678,3649.0,1159.0,13908.0,815.0,1027.0,2405.0,1050.0,197.0,1349.0,304.0,125.0,422.0,7412.0
1300,gRNA_14679,6072.0,2386.0,23065.0,972.0,994.0,3143.0,953.0,153.0,1251.0,310.0,199.0,470.0,8439.0
1301,gRNA_14680,2453.0,684.0,8568.0,375.0,290.0,1142.0,397.0,85.0,1150.0,87.0,215.0,147.0,3449.0
1302,gRNA_14681,7039.0,2157.0,27506.0,756.0,883.0,2663.0,828.0,148.0,2971.0,243.0,284.0,405.0,8585.0
1303,gRNA_14682,7409.0,2443.0,27797.0,920.0,980.0,1935.0,675.0,143.0,4768.0,410.0,229.0,993.0,6889.0
1304,gRNA_14683,3493.0,820.0,10884.0,662.0,547.0,1035.0,628.0,93.0,1187.0,124.0,118.0,279.0,4567.0
1305,gRNA_14684,12685.0,5444.0,51812.0,1448.0,1648.0,4835.0,1744.0,277.0,1979.0,511.0,738.0,853.0,11460.0
1306,gRNA_14685,11823.0,3572.0,48588.0,1866.0,1351.0,3835.0,1480.0,288.0,3907.0,462.0,476.0,1066.0,14585.0
1307,gRNA_14686,6008.0,1712.0,18898.0,835.0,629.0,2831.0,878.0,135.0,3512.0,277.0,129.0,624.0,7123.0
1308,gRNA_14687,5473.0,1637.0,22727.0,791.0,876.0,3674.0,1092.0,131.0,3100.0,316.0,204.0,390.0,8037.0
1309,gRNA_14688,9027.0,2250.0,38554.0,967.0,1009.0,2233.0,653.0,101.0,2585.0,212.0,282.0,442.0,6474.0
1310,gRNA_14689,2665.0,853.0,11497.0,435.0,331.0,997.0,325.0,136.0,867.0,139.0,137.0,111.0,3361.0
1311,gRNA_14690,6570.0,2010.0,28586.0,776.0,945.0,2179.0,546.0,134.0,2560.0,316.0,109.0,431.0,7470.0
1312,gRNA_14691,3599.0,1166.0,11242.0,649.0,657.0,1768.0,520.0,96.0,1172.0,244.0,78.0,248.0,4690.0
1313,gRNA_14692,8218.0,2341.0,35230.0,1267.0,1349.0,3494.0,1316.0,261.0,3440.0,479.0,333.0,1294.0,11139.0
1314,gRNA_14693,2342.0,841.0,11181.0,486.0,221.0,979.0,409.0,83.0,489.0,123.0,71.0,177.0,3175.0
1315,gRNA_14694,16473.0,5659.0,62879.0,2241.0,2531.0,5345.0,2367.0,365.0,3021.0,917.0,421.0,1047.0,14831.0
1316,gRNA_14695,6552.0,2174.0,28039.0,647.0,745.0,1092.0,452.0,142.0,1598.0,134.0,228.0,420.0,4939.0
1317,gRNA_14696,4453.0,1793.0,18223.0,681.0,640.0,2190.0,583.0,175.0,1450.0,137.0,179.0,201.0,5712.0
1318,gRNA_14697,2507.0,842.0,9010.0,216.0,264.0,855.0,170.0,56.0,1022.0,52.0,42.0,97.0,2328.0
1319,gRNA_14698,4410.0,1141.0,12739.0,760.0,824.0,1343.0,538.0,180.0,2551.0,340.0,99.0,327.0,8792.0
1320,gRNA_14699,4617.0,1415.0,16628.0,351.0,460.0,978.0,326.0,80.0,919.0,82.0,71.0,253.0,3219.0
1321,gRNA_14700,3718.0,1080.0,15500.0,522.0,505.0,1286.0,420.0,110.0,1031.0,78.0,91.0,302.0,5095.0
1322,gRNA_14701,2288.0,722.0,7789.0,301.0,248.0,757.0,232.0,43.0,773.0,32.0,98.0,122.0,3860.0
1323,gRNA_14702,4738.0,1369.0,21036.0,1229.0,1347.0,3211.0,1104.0,176.0,2878.0,185.0,463.0,449.0,7702.0
1324,gRNA_14703,1708.0,577.0,7037.0,353.0,514.0,1632.0,470.0,59.0,530.0,152.0,84.0,193.0,2697.0
1325,gRNA_14704,12878.0,3446.0,42364.0,588.0,499.0,2051.0,637.0,100.0,958.0,51.0,177.0,423.0,6445.0
1326,gRNA_14705,2268.0,748.0,9485.0,577.0,795.0,1707.0,619.0,97.0,518.0,46.0,72.0,302.0,5079.0
1327,gRNA_14706,2670.0,760.0,11659.0,448.0,184.0,1174.0,388.0,63.0,168.0,53.0,209.0,183.0,4207.0
1328,gRNA_14707,6414.0,1984.0,22497.0,1226.0,774.0,3797.0,946.0,177.0,1926.0,183.0,385.0,599.0,11261.0
1329,gRNA_14708,14986.0,4064.0,47398.0,1169.0,1227.0,4211.0,1112.0,210.0,2832.0,429.0,260.0,495.0,7913.0
1330,gRNA_14709,4929.0,1448.0,25717.0,952.0,1155.0,2917.0,949.0,200.0,2825.0,276.0,222.0,479.0,6001.0
1331,gRNA_14710,2386.0,644.0,7912.0,536.0,248.0,903.0,292.0,100.0,151.0,211.0,38.0,253.0,3763.0
1332,gRNA_14711,6481.0,1444.0,27590.0,586.0,559.0,2287.0,495.0,105.0,1034.0,90.0,119.0,156.0,4675.0
1333,gRNA_14712,3174.0,1398.0,13945.0,362.0,344.0,1064.0,361.0,51.0,861.0,55.0,306.0,327.0,3772.0
1334,gRNA_14713,4704.0,1891.0,19399.0,650.0,524.0,1618.0,442.0,127.0,407.0,210.0,143.0,396.0,6244.0
1335,gRNA_14714,3935.0,1266.0,17463.0,627.0,637.0,1642.0,609.0,101.0,1572.0,384.0,160.0,297.0,6257.0
1336,gRNA_14715,4394.0,1692.0,17477.0,566.0,495.0,1564.0,464.0,123.0,1349.0,144.0,114.0,154.0,4411.0
1337,gRNA_14716,5238.0,1675.0,20518.0,935.0,823.0,2053.0,870.0,133.0,2501.0,119.0,115.0,444.0,6793.0
1338,gRNA_14717,3.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1339,gRNA_14718,5192.0,1508.0,20380.0,833.0,742.0,3254.0,894.0,162.0,1699.0,211.0,229.0,333.0,7072.0
1340,gRNA_14719,4874.0,1337.0,20043.0,736.0,612.0,2393.0,803.0,122.0,2356.0,166.0,192.0,718.0,5615.0
1341,gRNA_14720,4995.0,1664.0,26316.0,1172.0,1092.0,2462.0,993.0,243.0,2382.0,455.0,310.0,494.0,8156.0
1342,gRNA_14721,13831.0,3775.0,54290.0,1075.0,975.0,3347.0,965.0,185.0,2041.0,140.0,176.0,562.0,9357.0
1343,gRNA_14722,5229.0,1469.0,19793.0,883.0,778.0,2889.0,1317.0,130.0,1226.0,424.0,221.0,1280.0,7306.0
1344,gRNA_14723,4096.0,1289.0,16879.0,647.0,758.0,1472.0,650.0,83.0,1066.0,183.0,193.0,320.0,5939.0
1345,gRNA_14724,5419.0,1756.0,20971.0,765.0,797.0,1582.0,788.0,154.0,1141.0,400.0,207.0,290.0,6324.0
1346,gRNA_14725,4674.0,1497.0,17454.0,942.0,894.0,1793.0,878.0,148.0,1418.0,144.0,125.0,570.0,7516.0
1347,gRNA_14726,6214.0,1763.0,22025.0,985.0,1150.0,2363.0,803.0,163.0,1481.0,154.0,291.0,534.0,6345.0
1348,gRNA_14727,58861.0,16947.0,206279.0,3862.0,3144.0,7838.0,3051.0,708.0,6859.0,1302.0,1043.0,1591.0,34960.0
1349,gRNA_14728,3066.0,785.0,12733.0,607.0,592.0,3310.0,900.0,135.0,2841.0,105.0,130.0,230.0,4117.0
1350,gRNA_14729,5010.0,1293.0,20495.0,806.0,615.0,2216.0,729.0,176.0,962.0,275.0,214.0,399.0,7625.0
1351,gRNA_14730,4451.0,1269.0,16685.0,696.0,1036.0,2643.0,603.0,138.0,909.0,503.0,247.0,605.0,7490.0
1352,gRNA_14731,4414.0,1390.0,15788.0,502.0,453.0,1195.0,485.0,75.0,707.0,182.0,153.0,228.0,4234.0
1353,gRNA_14732,42347.0,14674.0,226993.0,2217.0,1777.0,5855.0,2011.0,395.0,3652.0,563.0,773.0,790.0,18980.0
1354,gRNA_14733,5615.0,2139.0,18681.0,561.0,393.0,2165.0,649.0,100.0,1091.0,72.0,135.0,254.0,6051.0
1355,gRNA_14734,7476.0,2517.0,31270.0,1433.0,1460.0,4340.0,1275.0,367.0,1751.0,262.0,571.0,738.0,10309.0
1356,gRNA_14735,3005.0,786.0,9427.0,627.0,555.0,1268.0,495.0,153.0,1073.0,235.0,185.0,342.0,4934.0
1357,gRNA_14736,6547.0,1714.0,22734.0,885.0,878.0,2844.0,612.0,161.0,1339.0,311.0,142.0,572.0,7534.0
1358,gRNA_14737,2225.0,638.0,10548.0,519.0,590.0,948.0,338.0,69.0,1372.0,113.0,105.0,158.0,4735.0
1359,gRNA_14738,2880.0,1287.0,15402.0,707.0,686.0,2332.0,791.0,84.0,2421.0,389.0,79.0,283.0,6030.0
1360,gRNA_14739,11158.0,3440.0,41286.0,1468.0,1719.0,2045.0,1077.0,244.0,3844.0,431.0,312.0,543.0,12777.0
1361,gRNA_14740,436.0,124.0,914.0,10.0,26.0,47.0,36.0,0.0,118.0,6.0,2.0,38.0,410.0
1362,gRNA_14741,5482.0,1473.0,19638.0,882.0,500.0,2265.0,761.0,142.0,2026.0,292.0,471.0,404.0,5572.0
1363,gRNA_14742,8868.0,2821.0,31232.0,1212.0,797.0,1921.0,851.0,194.0,2753.0,208.0,287.0,428.0,6425.0
1364,gRNA_14743,4943.0,1638.0,18454.0,637.0,851.0,2618.0,624.0,138.0,1494.0,206.0,165.0,375.0,4801.0
1365,gRNA_14744,3566.0,996.0,14172.0,955.0,715.0,2328.0,542.0,133.0,1506.0,202.0,310.0,490.0,5198.0
1366,gRNA_14745,2457.0,655.0,9050.0,346.0,194.0,1141.0,373.0,41.0,214.0,68.0,148.0,157.0,4256.0
1367,gRNA_14746,21758.0,7237.0,92575.0,2922.0,5212.0,6801.0,3210.0,592.0,14848.0,985.0,907.0,3299.0,22732.0
1368,gRNA_14747,9419.0,2521.0,39895.0,1504.0,1264.0,3451.0,1377.0,219.0,2066.0,940.0,622.0,757.0,9419.0
1369,gRNA_14748,5997.0,1479.0,23631.0,1017.0,1401.0,3007.0,884.0,191.0,4043.0,261.0,170.0,438.0,7865.0
1370,gRNA_14749,3953.0,1313.0,20890.0,837.0,705.0,1833.0,827.0,139.0,3020.0,230.0,288.0,205.0,6085.0
1371,gRNA_14750,4346.0,1394.0,14752.0,572.0,526.0,934.0,366.0,118.0,1284.0,114.0,162.0,137.0,4880.0
1372,gRNA_14751,7734.0,2043.0,27098.0,635.0,537.0,1413.0,581.0,175.0,1308.0,250.0,109.0,250.0,5438.0
1373,gRNA_14752,3906.0,1134.0,14399.0,573.0,693.0,1805.0,804.0,132.0,707.0,252.0,166.0,408.0,6518.0
1374,gRNA_14753,4320.0,1266.0,18429.0,470.0,637.0,1041.0,470.0,89.0,1237.0,128.0,104.0,262.0,5394.0
1375,gRNA_14754,1569.0,552.0,6819.0,177.0,255.0,603.0,254.0,44.0,428.0,87.0,120.0,287.0,1548.0
1376,gRNA_14755,2344.0,667.0,12809.0,314.0,329.0,1075.0,386.0,58.0,302.0,142.0,79.0,127.0,3490.0
1377,gRNA_14756,3341.0,1025.0,11987.0,638.0,688.0,2135.0,590.0,124.0,1212.0,378.0,138.0,323.0,5472.0
1378,gRNA_14757,1978.0,547.0,7596.0,535.0,590.0,2203.0,604.0,135.0,1032.0,181.0,96.0,252.0,4672.0
1379,gRNA_14758,6304.0,1217.0,19192.0,677.0,844.0,3079.0,663.0,151.0,2418.0,182.0,352.0,412.0,7118.0
1380,gRNA_14759,2014.0,692.0,7571.0,975.0,890.0,2146.0,789.0,144.0,1774.0,256.0,476.0,382.0,5845.0
1381,gRNA_14760,3855.0,1449.0,19428.0,583.0,577.0,2006.0,956.0,106.0,858.0,329.0,209.0,268.0,5875.0
1382,gRNA_14761,6500.0,1819.0,19710.0,628.0,566.0,1833.0,512.0,100.0,1095.0,84.0,238.0,293.0,5801.0
1383,gRNA_14762,10262.0,3375.0,38984.0,1189.0,977.0,2846.0,1122.0,189.0,1435.0,191.0,366.0,506.0,8237.0
1384,gRNA_14763,2516.0,914.0,13512.0,334.0,388.0,686.0,268.0,39.0,696.0,123.0,253.0,109.0,2634.0
1385,gRNA_14764,10513.0,4010.0,53480.0,1003.0,1135.0,3189.0,1220.0,167.0,3055.0,467.0,305.0,429.0,10059.0
1386,gRNA_14765,8940.0,3204.0,38415.0,777.0,785.0,2495.0,779.0,137.0,1833.0,122.0,246.0,266.0,6842.0
1387,gRNA_14766,3669.0,887.0,12691.0,434.0,343.0,1891.0,314.0,84.0,1833.0,162.0,188.0,152.0,3549.0
1388,gRNA_14767,4204.0,1696.0,17456.0,671.0,626.0,1177.0,481.0,71.0,1018.0,83.0,191.0,265.0,4350.0
1389,gRNA_14768,6498.0,1798.0,25226.0,1311.0,1231.0,3342.0,1477.0,243.0,2687.0,497.0,191.0,576.0,9763.0
1390,gRNA_14769,2144.0,875.0,10524.0,536.0,489.0,1297.0,415.0,161.0,1380.0,135.0,65.0,319.0,3477.0
1391,gRNA_14770,15569.0,3735.0,73368.0,1498.0,1056.0,2975.0,1061.0,238.0,2101.0,401.0,227.0,461.0,14710.0
1392,gRNA_14771,2129.0,665.0,9539.0,348.0,469.0,1304.0,422.0,107.0,512.0,92.0,159.0,138.0,3147.0
1393,gRNA_14772,4778.0,1413.0,20748.0,999.0,1021.0,2133.0,798.0,205.0,1340.0,330.0,454.0,415.0,7507.0
1394,gRNA_14773,7403.0,2650.0,32903.0,758.0,860.0,2491.0,1241.0,175.0,1924.0,233.0,525.0,742.0,7005.0
1395,gRNA_14774,6533.0,2440.0,30360.0,947.0,756.0,1928.0,530.0,188.0,2646.0,325.0,247.0,546.0,7829.0
1396,gRNA_14775,6210.0,1884.0,24317.0,717.0,829.0,3406.0,512.0,132.0,1358.0,159.0,249.0,224.0,6466.0
1397,gRNA_14776,2591.0,838.0,8969.0,261.0,150.0,938.0,293.0,53.0,318.0,119.0,83.0,120.0,2518.0
1398,gRNA_14777,2923.0,1029.0,11159.0,431.0,434.0,1309.0,383.0,68.0,968.0,166.0,140.0,177.0,4032.0
1399,gRNA_14778,3820.0,1388.0,13610.0,448.0,700.0,1711.0,403.0,115.0,774.0,198.0,73.0,218.0,4885.0
1400,gRNA_14779,2628.0,958.0,12102.0,761.0,627.0,2315.0,814.0,146.0,1876.0,125.0,186.0,260.0,4792.0
1401,gRNA_14780,9661.0,2574.0,39562.0,1026.0,1088.0,2460.0,1157.0,184.0,2718.0,247.0,338.0,1694.0,9775.0
1402,gRNA_14781,109.0,32.0,372.0,34.0,2.0,60.0,16.0,2.0,1.0,3.0,5.0,4.0,210.0
1403,gRNA_14782,5159.0,1647.0,19107.0,687.0,629.0,2101.0,549.0,124.0,990.0,137.0,339.0,194.0,6308.0
1404,gRNA_14783,8402.0,2956.0,38909.0,726.0,660.0,1631.0,901.0,176.0,1076.0,102.0,139.0,291.0,9105.0
1405,gRNA_14784,2796.0,1081.0,11986.0,466.0,413.0,1822.0,596.0,83.0,1089.0,162.0,193.0,237.0,4480.0
1406,gRNA_14785,8381.0,3020.0,31379.0,1561.0,1544.0,3798.0,1077.0,293.0,4185.0,492.0,430.0,664.0,10393.0
1407,gRNA_14786,1493.0,286.0,6661.0,400.0,340.0,868.0,225.0,37.0,434.0,22.0,56.0,154.0,2321.0
1408,gRNA_14787,3083.0,886.0,11965.0,277.0,240.0,1310.0,349.0,52.0,803.0,89.0,81.0,125.0,3173.0
1409,gRNA_14788,6558.0,2119.0,24223.0,493.0,701.0,1852.0,465.0,83.0,682.0,220.0,207.0,304.0,5945.0
1410,gRNA_14789,2259.0,814.0,9359.0,881.0,968.0,2325.0,740.0,143.0,1963.0,249.0,150.0,575.0,5062.0
1411,gRNA_14790,2913.0,882.0,15180.0,484.0,440.0,1829.0,564.0,82.0,1113.0,54.0,290.0,343.0,4231.0
1412,gRNA_14791,6840.0,2386.0,27102.0,860.0,822.0,2083.0,1115.0,158.0,1528.0,315.0,218.0,717.0,10325.0
1413,gRNA_14792,6435.0,1917.0,23721.0,828.0,947.0,1961.0,846.0,159.0,2064.0,123.0,334.0,296.0,8629.0
1414,gRNA_14793,3408.0,1002.0,13761.0,843.0,840.0,2523.0,806.0,150.0,1005.0,250.0,136.0,463.0,7468.0
1415,gRNA_14794,2645.0,793.0,9929.0,244.0,192.0,1228.0,199.0,65.0,466.0,82.0,35.0,91.0,2616.0
1416,gRNA_14795,6500.0,2101.0,30684.0,734.0,709.0,2819.0,777.0,131.0,1606.0,293.0,178.0,462.0,6123.0
1417,gRNA_14796,5403.0,1287.0,23855.0,730.0,586.0,3111.0,647.0,148.0,1866.0,298.0,296.0,332.0,4510.0
1418,gRNA_14797,3744.0,1457.0,18704.0,517.0,504.0,2245.0,627.0,81.0,593.0,154.0,131.0,409.0,4642.0
1419,gRNA_14798,1810.0,580.0,7953.0,588.0,583.0,1116.0,354.0,108.0,1115.0,137.0,102.0,223.0,3589.0
1420,gRNA_14799,4313.0,1867.0,19668.0,821.0,675.0,1573.0,877.0,209.0,1263.0,311.0,255.0,406.0,5149.0
1421,gRNA_14800,9461.0,3234.0,47590.0,1263.0,1728.0,5458.0,1437.0,215.0,2135.0,361.0,369.0,713.0,9318.0
1422,gRNA_14801,5350.0,1841.0,23692.0,897.0,640.0,2319.0,649.0,163.0,1274.0,240.0,146.0,419.0,7845.0
1423,gRNA_14802,7545.0,2398.0,32930.0,1524.0,940.0,3440.0,1247.0,294.0,1198.0,206.0,209.0,375.0,10791.0
1424,gRNA_14803,6294.0,2117.0,28263.0,885.0,1120.0,3731.0,1079.0,175.0,1750.0,332.0,547.0,629.0,8805.0
1425,gRNA_14804,12598.0,3123.0,34186.0,1043.0,627.0,1988.0,975.0,200.0,1317.0,160.0,252.0,1018.0,8163.0
1426,gRNA_14805,8006.0,2741.0,37294.0,458.0,360.0,1201.0,351.0,82.0,2203.0,216.0,102.0,135.0,3586.0
1427,gRNA_14806,3636.0,1308.0,17847.0,460.0,588.0,1229.0,516.0,102.0,724.0,666.0,57.0,408.0,3198.0
1428,gRNA_14807,6712.0,2100.0,26798.0,1340.0,1055.0,4808.0,1146.0,249.0,2263.0,244.0,377.0,499.0,10614.0
1429,gRNA_14808,15676.0,5263.0,68616.0,1093.0,1422.0,3292.0,1206.0,161.0,1587.0,818.0,485.0,611.0,11739.0
1430,gRNA_14809,6039.0,1805.0,30651.0,359.0,232.0,726.0,250.0,91.0,169.0,312.0,35.0,107.0,2937.0
1431,gRNA_14810,9808.0,3659.0,42683.0,893.0,732.0,2587.0,1004.0,165.0,1823.0,231.0,251.0,432.0,8570.0
1432,gRNA_14811,6536.0,1624.0,24183.0,907.0,834.0,2643.0,763.0,152.0,986.0,156.0,304.0,413.0,9391.0
1433,gRNA_14812,7605.0,1948.0,36916.0,646.0,393.0,1378.0,426.0,105.0,1321.0,227.0,76.0,287.0,4222.0
1434,gRNA_14813,3503.0,1135.0,15214.0,697.0,623.0,2280.0,469.0,130.0,654.0,269.0,185.0,622.0,4542.0
1435,gRNA_14814,3217.0,932.0,12310.0,544.0,507.0,977.0,517.0,53.0,565.0,187.0,71.0,296.0,3940.0
1436,gRNA_14815,3867.0,1068.0,12732.0,366.0,342.0,1162.0,571.0,84.0,1148.0,56.0,193.0,145.0,4454.0
1437,gRNA_14816,9348.0,3308.0,44824.0,1290.0,754.0,3057.0,1055.0,152.0,915.0,709.0,125.0,468.0,9288.0
1438,gRNA_14817,1311.0,326.0,5903.0,482.0,467.0,1072.0,421.0,93.0,1224.0,102.0,229.0,188.0,2949.0
1439,gRNA_14818,8559.0,2348.0,38214.0,742.0,595.0,1540.0,373.0,111.0,2848.0,240.0,152.0,271.0,6388.0
1440,gRNA_14819,3624.0,1047.0,13227.0,406.0,480.0,1672.0,534.0,71.0,1068.0,139.0,84.0,156.0,4012.0
1441,gRNA_14820,3923.0,1153.0,14966.0,452.0,527.0,1197.0,306.0,99.0,513.0,321.0,69.0,286.0,4669.0
1442,gRNA_14821,6580.0,2004.0,26421.0,955.0,980.0,2126.0,920.0,189.0,1765.0,233.0,253.0,497.0,8019.0
1443,gRNA_14822,2500.0,931.0,10540.0,519.0,498.0,2012.0,482.0,113.0,1317.0,71.0,137.0,281.0,4376.0
1444,gRNA_14823,3356.0,909.0,11158.0,354.0,311.0,953.0,423.0,100.0,304.0,206.0,259.0,146.0,4878.0
1445,gRNA_14824,11938.0,4415.0,53117.0,716.0,759.0,1700.0,506.0,94.0,1500.0,141.0,211.0,354.0,6425.0
1446,gRNA_14825,6444.0,1729.0,25093.0,1341.0,1695.0,2547.0,1145.0,242.0,4304.0,666.0,532.0,735.0,7659.0
1447,gRNA_14826,9754.0,2919.0,33975.0,1356.0,1323.0,2990.0,1089.0,188.0,1623.0,266.0,163.0,475.0,9240.0
1448,gRNA_14827,7818.0,2431.0,27297.0,1035.0,1135.0,2915.0,920.0,207.0,2248.0,898.0,166.0,585.0,9908.0
1449,gRNA_14828,2430.0,776.0,9964.0,711.0,596.0,1983.0,583.0,90.0,641.0,260.0,94.0,324.0,3738.0
1450,gRNA_14829,19516.0,6367.0,89306.0,1398.0,1092.0,3814.0,1460.0,200.0,1262.0,304.0,315.0,829.0,13882.0
1451,gRNA_14830,6961.0,1889.0,29441.0,1455.0,1439.0,4197.0,1101.0,251.0,1505.0,486.0,305.0,654.0,12399.0
1452,gRNA_14831,5136.0,1870.0,20455.0,2226.0,1417.0,3505.0,1095.0,245.0,3110.0,618.0,331.0,794.0,9363.0
1453,gRNA_14832,9251.0,2941.0,36141.0,2225.0,1491.0,5253.0,2242.0,418.0,1954.0,432.0,555.0,1245.0,14130.0
1454,gRNA_14833,9870.0,3974.0,41108.0,943.0,813.0,2997.0,759.0,148.0,1199.0,157.0,195.0,405.0,9616.0
1455,gRNA_14834,21743.0,7263.0,101513.0,749.0,646.0,1461.0,579.0,106.0,1529.0,113.0,212.0,489.0,7098.0
