,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
223,gRNA_2747,603.0,300.0,83.0,390.0,225.0,364.0,3191.0,427.0,214.0,567.0,804.0,629.0,780.0,3696.0
230,gRNA_2775,2181.0,1336.0,367.0,488.0,556.0,899.0,7491.0,1017.0,327.0,1885.0,1676.0,1192.0,1210.0,3929.0
234,gRNA_2810,1618.0,1132.0,386.0,565.0,324.0,806.0,5815.0,483.0,577.0,1104.0,1564.0,927.0,537.0,3367.0
242,gRNA_3011,650.0,440.0,155.0,321.0,317.0,329.0,3073.0,584.0,242.0,1501.0,497.0,366.0,1061.0,2551.0
243,gRNA_3012,872.0,522.0,114.0,579.0,413.0,401.0,4797.0,761.0,305.0,831.0,962.0,724.0,732.0,2659.0
244,gRNA_3031,762.0,385.0,102.0,521.0,592.0,686.0,4341.0,626.0,385.0,1351.0,1242.0,609.0,585.0,3802.0
251,gRNA_3084,1164.0,508.0,149.0,248.0,189.0,283.0,2525.0,484.0,113.0,854.0,942.0,452.0,660.0,1634.0
252,gRNA_3086,829.0,436.0,143.0,360.0,134.0,184.0,2841.0,469.0,279.0,361.0,303.0,477.0,769.0,1692.0
256,gRNA_3107,1543.0,895.0,271.0,643.0,619.0,752.0,6655.0,1102.0,181.0,1359.0,1224.0,1052.0,929.0,2176.0
259,gRNA_3522,1013.0,684.0,179.0,471.0,367.0,455.0,4768.0,495.0,272.0,1325.0,643.0,958.0,391.0,3221.0
260,gRNA_3523,1226.0,738.0,160.0,316.0,238.0,399.0,3062.0,344.0,106.0,931.0,478.0,1196.0,209.0,1974.0
261,gRNA_3524,1127.0,972.0,229.0,261.0,214.0,350.0,3775.0,352.0,312.0,809.0,1216.0,1051.0,272.0,3803.0
262,gRNA_3525,1066.0,549.0,247.0,280.0,221.0,484.0,3838.0,426.0,129.0,611.0,1367.0,392.0,280.0,3017.0
263,gRNA_3570,2613.0,1923.0,558.0,480.0,444.0,585.0,6351.0,696.0,277.0,1075.0,1269.0,2219.0,1138.0,3728.0
264,gRNA_3579,2189.0,2074.0,460.0,295.0,252.0,364.0,3050.0,398.0,198.0,830.0,564.0,413.0,452.0,2143.0
265,gRNA_3580,710.0,477.0,111.0,486.0,302.0,296.0,3847.0,551.0,344.0,1251.0,416.0,422.0,561.0,1672.0
266,gRNA_3677,5157.0,3261.0,823.0,1551.0,850.0,1030.0,10054.0,1382.0,867.0,2015.0,2251.0,1639.0,1879.0,9433.0
267,gRNA_3686,559.0,335.0,67.0,490.0,370.0,505.0,3962.0,522.0,278.0,1571.0,915.0,548.0,590.0,2865.0
268,gRNA_3698,2384.0,1379.0,427.0,1071.0,815.0,909.0,10391.0,1299.0,609.0,2742.0,3004.0,1484.0,1210.0,7464.0
269,gRNA_3703,593.0,324.0,133.0,449.0,341.0,397.0,4851.0,670.0,299.0,1038.0,502.0,471.0,479.0,3213.0
270,gRNA_3905,917.0,518.0,160.0,224.0,123.0,159.0,2076.0,472.0,104.0,563.0,270.0,390.0,434.0,1876.0
271,gRNA_3906,89.0,70.0,5.0,63.0,93.0,28.0,393.0,60.0,25.0,743.0,52.0,67.0,126.0,887.0
272,gRNA_3909,2553.0,1494.0,512.0,1009.0,670.0,843.0,9179.0,2369.0,374.0,2844.0,1470.0,698.0,3122.0,2985.0
287,gRNA_4033,1539.0,1003.0,289.0,979.0,500.0,637.0,6126.0,778.0,238.0,1319.0,1590.0,789.0,1475.0,4321.0
299,gRNA_4195,6148.0,3774.0,1510.0,653.0,385.0,775.0,6771.0,1153.0,248.0,1617.0,1854.0,1416.0,874.0,8494.0
301,gRNA_4440,1217.0,664.0,218.0,598.0,391.0,452.0,5027.0,613.0,295.0,1347.0,980.0,861.0,713.0,5034.0
304,gRNA_4461,697.0,550.0,116.0,341.0,376.0,308.0,2094.0,483.0,163.0,989.0,724.0,399.0,785.0,1996.0
305,gRNA_4577,500.0,250.0,40.0,192.0,112.0,174.0,1506.0,241.0,116.0,344.0,329.0,349.0,314.0,1428.0
306,gRNA_4578,466.0,232.0,49.0,616.0,425.0,1426.0,3529.0,584.0,241.0,721.0,1805.0,404.0,852.0,2212.0
307,gRNA_4621,326.0,191.0,51.0,96.0,80.0,110.0,1143.0,324.0,78.0,704.0,158.0,123.0,156.0,1322.0
308,gRNA_4628,1119.0,526.0,134.0,300.0,283.0,367.0,4666.0,581.0,106.0,1767.0,464.0,618.0,939.0,3471.0
309,gRNA_4735,923.0,600.0,210.0,313.0,243.0,226.0,3494.0,351.0,279.0,1191.0,608.0,625.0,964.0,2926.0
316,gRNA_4770,767.0,450.0,114.0,426.0,578.0,507.0,4445.0,762.0,343.0,1277.0,1543.0,388.0,498.0,3712.0
317,gRNA_4782,605.0,336.0,70.0,252.0,209.0,341.0,2828.0,294.0,110.0,570.0,670.0,546.0,323.0,2035.0
318,gRNA_4829,1235.0,666.0,199.0,340.0,267.0,289.0,4006.0,543.0,191.0,2468.0,915.0,468.0,578.0,4866.0
319,gRNA_4888,385.0,200.0,36.0,223.0,79.0,140.0,2046.0,274.0,182.0,305.0,216.0,305.0,191.0,2211.0
321,gRNA_5194,1003.0,727.0,159.0,1438.0,1194.0,1808.0,23787.0,2654.0,898.0,2449.0,1644.0,2999.0,1473.0,4984.0
325,gRNA_5228,377.0,308.0,71.0,321.0,223.0,416.0,2447.0,346.0,184.0,588.0,740.0,413.0,332.0,1921.0
326,gRNA_5236,1030.0,641.0,153.0,618.0,287.0,547.0,4830.0,540.0,155.0,739.0,1218.0,718.0,1073.0,3536.0
338,gRNA_5373,9293.0,4356.0,1342.0,1009.0,731.0,952.0,9796.0,1407.0,1057.0,2380.0,1165.0,1434.0,1473.0,7363.0
339,gRNA_5374,507.0,313.0,71.0,408.0,284.0,316.0,3299.0,514.0,350.0,617.0,490.0,336.0,618.0,2279.0
340,gRNA_5501,1249.0,908.0,168.0,321.0,257.0,460.0,3744.0,578.0,310.0,1074.0,936.0,415.0,595.0,3293.0
341,gRNA_5621,813.0,757.0,160.0,381.0,357.0,333.0,3592.0,715.0,173.0,962.0,956.0,580.0,554.0,2899.0
342,gRNA_5624,725.0,635.0,127.0,216.0,138.0,135.0,1221.0,226.0,123.0,599.0,319.0,264.0,179.0,2389.0
343,gRNA_5625,342.0,383.0,66.0,284.0,247.0,263.0,4769.0,644.0,205.0,707.0,578.0,437.0,809.0,3336.0
344,gRNA_5740,4292.0,2896.0,843.0,544.0,604.0,698.0,4792.0,898.0,285.0,1335.0,1383.0,872.0,1110.0,4025.0
360,gRNA_6080,847.0,462.0,140.0,249.0,80.0,127.0,1274.0,169.0,190.0,149.0,459.0,215.0,305.0,975.0
361,gRNA_6081,229.0,147.0,43.0,55.0,41.0,43.0,626.0,97.0,63.0,218.0,113.0,133.0,106.0,629.0
362,gRNA_6087,1145.0,647.0,184.0,472.0,194.0,262.0,2552.0,600.0,503.0,844.0,668.0,301.0,918.0,2119.0
364,gRNA_6111,414.0,259.0,76.0,297.0,141.0,349.0,3478.0,509.0,224.0,409.0,868.0,380.0,585.0,2277.0
366,gRNA_6125,198.0,100.0,33.0,54.0,78.0,83.0,672.0,98.0,63.0,122.0,251.0,64.0,124.0,825.0
399,gRNA_6472,253.0,239.0,51.0,125.0,125.0,198.0,1610.0,196.0,75.0,336.0,189.0,542.0,666.0,932.0
401,gRNA_6480,466.0,287.0,93.0,79.0,129.0,88.0,1067.0,146.0,38.0,307.0,135.0,167.0,268.0,1492.0
422,gRNA_6629,739.0,492.0,117.0,405.0,280.0,286.0,3948.0,552.0,199.0,695.0,495.0,524.0,508.0,1846.0
437,gRNA_6712,1488.0,658.0,197.0,463.0,275.0,428.0,3397.0,517.0,291.0,857.0,449.0,392.0,747.0,2128.0
440,gRNA_6743,3953.0,3055.0,770.0,565.0,461.0,773.0,7034.0,887.0,313.0,813.0,1233.0,1233.0,901.0,3862.0
441,gRNA_6745,1486.0,938.0,241.0,666.0,387.0,570.0,4572.0,832.0,854.0,1131.0,921.0,719.0,727.0,4350.0
442,gRNA_6781,1205.0,612.0,162.0,395.0,237.0,242.0,3310.0,623.0,151.0,1081.0,441.0,427.0,579.0,2972.0
443,gRNA_6782,83.0,78.0,16.0,82.0,61.0,113.0,1144.0,134.0,138.0,355.0,127.0,120.0,123.0,739.0
444,gRNA_6797,721.0,570.0,172.0,269.0,233.0,284.0,2953.0,412.0,180.0,653.0,564.0,633.0,261.0,3106.0
445,gRNA_6833,791.0,502.0,137.0,277.0,244.0,288.0,2572.0,313.0,300.0,1571.0,675.0,330.0,563.0,2442.0
446,gRNA_6834,182.0,134.0,34.0,95.0,71.0,183.0,1510.0,198.0,36.0,169.0,186.0,176.0,133.0,945.0
447,gRNA_6835,404.0,272.0,57.0,217.0,66.0,242.0,2184.0,201.0,120.0,197.0,312.0,314.0,330.0,2013.0
448,gRNA_6842,1156.0,602.0,208.0,531.0,417.0,373.0,3628.0,642.0,233.0,1004.0,932.0,761.0,547.0,2095.0
449,gRNA_6849,7497.0,3113.0,1088.0,845.0,621.0,947.0,6774.0,1452.0,296.0,1317.0,1980.0,782.0,1598.0,8458.0
469,gRNA_7393,1384.0,1027.0,202.0,787.0,388.0,411.0,4421.0,794.0,163.0,2472.0,1199.0,1582.0,1488.0,3629.0
474,gRNA_7429,770.0,432.0,120.0,482.0,307.0,319.0,3619.0,744.0,305.0,1170.0,1108.0,944.0,960.0,1911.0
483,gRNA_7481,1063.0,476.0,133.0,130.0,97.0,89.0,1273.0,118.0,49.0,223.0,184.0,221.0,361.0,1180.0
484,gRNA_7510,604.0,327.0,91.0,172.0,137.0,256.0,2017.0,396.0,160.0,1046.0,659.0,395.0,284.0,1947.0
485,gRNA_7511,665.0,465.0,154.0,361.0,307.0,374.0,3338.0,511.0,345.0,1723.0,840.0,540.0,831.0,2361.0
486,gRNA_7512,1193.0,830.0,191.0,620.0,394.0,686.0,4667.0,1018.0,287.0,2563.0,1025.0,709.0,1482.0,6036.0
487,gRNA_7513,1885.0,1046.0,399.0,812.0,625.0,677.0,5288.0,967.0,738.0,3601.0,1739.0,666.0,1032.0,4094.0
488,gRNA_7514,1250.0,633.0,199.0,476.0,363.0,388.0,5412.0,856.0,298.0,1234.0,908.0,520.0,844.0,3766.0
489,gRNA_7558,865.0,648.0,186.0,331.0,184.0,312.0,3082.0,434.0,280.0,790.0,641.0,459.0,359.0,3351.0
